project_id,project_year,consultant_id,client_id,service_area,project_type,department_owner,associate_assigned,billable_travel,billable_shipping,candidate_count,estimated_bill,invoice_total,project_cost,bid_discrepancy,net_profit
SYN-0001,Year_1,Consultant_F,Client_027,Area_A,structured_interview,Unlisted,FALSE,FALSE,FALSE,20,6963.25,6445.04,2931.72,-518.21,3513.32
SYN-0002,Year_1,Consultant_A,Client_028,Area_C,written_assessment,Unlisted,TRUE,FALSE,FALSE,14,6661.36,7502.77,3000.28,841.41,4502.49
SYN-0003,Year_1,Consultant_A,Client_032,Area_C,product_license,Consulting,TRUE,FALSE,FALSE,49,3780.15,2858.67,1167.59,-921.48,1691.08
SYN-0004,Year_1,Consultant_G,Client_031,Area_D,written_assessment,Operations,FALSE,TRUE,TRUE,18,6510.73,5997.1,3091.35,-513.63,2905.74
SYN-0005,Year_1,Consultant_E,Client_045,Area_D,written_assessment,Consulting,FALSE,FALSE,FALSE,31,4967.11,5328.44,1998.73,361.32,3329.7
SYN-0006,Year_1,Consultant_F,Client_009,Area_C,written_assessment,Consulting,FALSE,FALSE,FALSE,8,6059.48,7831.91,1775.59,1772.44,6056.32
SYN-0007,Year_1,Consultant_B,Client_044,Area_B,assessment_center,Operations,FALSE,FALSE,TRUE,4,12269.04,13516.9,4480.84,1247.86,9036.06
SYN-0008,Year_1,Consultant_E,Client_035,Area_B,assessment_center,Unlisted,TRUE,TRUE,FALSE,48,12759.76,13549.88,5860.8,790.12,7689.08
SYN-0009,Year_1,Consultant_H,Client_039,Area_A,written_assessment,Consulting,TRUE,FALSE,FALSE,4,5919.62,7244.77,1313.01,1325.15,5931.76
SYN-0010,Year_1,Consultant_D,Client_023,Area_D,assessment_center,Operations,FALSE,TRUE,FALSE,46,14442.64,14492.65,5576.5,50.01,8916.15
SYN-0011,Year_1,Consultant_F,Client_035,Area_A,advisory_support,Unlisted,FALSE,FALSE,TRUE,33,9535.26,9880.8,3097.41,345.54,6783.39
SYN-0012,Year_1,Consultant_D,Client_026,Area_D,written_assessment,Operations,FALSE,FALSE,FALSE,40,5664.61,5106.54,2466.91,-558.08,2639.63
SYN-0013,Year_1,Consultant_F,Client_005,Area_D,written_assessment,Operations,TRUE,FALSE,FALSE,33,6233.92,8452.67,2622.6,2218.75,5830.07
SYN-0014,Year_1,Consultant_B,Client_036,Area_A,written_assessment,Consulting,FALSE,FALSE,FALSE,28,6487.89,6858.03,1815.41,370.15,5042.62
SYN-0015,Year_1,Consultant_E,Client_005,Area_A,general_support,Consulting,FALSE,FALSE,FALSE,40,5660.16,6398.33,2182.67,738.17,4215.66
SYN-0016,Year_1,Consultant_C,Client_046,Area_D,assessment_center,Consulting,FALSE,FALSE,FALSE,15,13012.62,13909.14,4718.46,896.52,9190.69
SYN-0017,Year_1,Consultant_E,Client_041,Area_A,written_assessment,Operations,FALSE,TRUE,FALSE,31,7541.99,8471.79,3510.58,929.8,4961.22
SYN-0018,Year_1,Consultant_D,Client_038,Area_D,written_assessment,Unlisted,FALSE,FALSE,TRUE,8,5717.53,5186.9,2684.19,-530.63,2502.71
SYN-0019,Year_1,Consultant_D,Client_025,Area_D,general_support,Operations,TRUE,FALSE,FALSE,26,4192.04,4263.08,1362.27,71.03,2900.8
SYN-0020,Year_1,Consultant_B,Client_045,Area_A,structured_interview,Consulting,FALSE,FALSE,FALSE,22,7982.44,9078.32,3501.99,1095.87,5576.33
SYN-0021,Year_1,Consultant_G,Client_038,Area_C,assessment_center,Operations,FALSE,FALSE,TRUE,31,12286.82,12321.9,4442.77,35.08,7879.13
SYN-0022,Year_1,Consultant_A,Client_047,Area_B,written_assessment,Unlisted,FALSE,TRUE,FALSE,32,7501.05,5992.76,4869.77,-1508.29,1122.99
SYN-0023,Year_1,Consultant_F,Client_019,Area_C,written_assessment,Operations,FALSE,FALSE,TRUE,26,6285.12,6849.47,3081.82,564.35,3767.65
SYN-0024,Year_1,Consultant_D,Client_034,Area_A,written_assessment,Operations,TRUE,TRUE,FALSE,45,7223.65,6489.47,3001.0,-734.19,3488.47
