quarter,department,V1,V2,V3,V4,V5,D1,D2,D3,D4,D5,A1,A2,A3,A4,A5,Vigor,Dedication,Absorption,Total
2024 Q1,HR,4,4,2,3,4,4,3,4,4,4,4,4,4,4,5,3.4,3.8,4.2,3.8
2024 Q1,HR,4,3,5,4,4,4,4,4,4,5,3,3,4,4,4,4.0,4.2,3.6,3.933333333333333
2024 Q1,HR,3,4,4,4,3,4,4,5,4,5,4,4,3,4,3,3.6,4.4,3.6,3.8666666666666667
2024 Q1,HR,3,5,3,4,3,4,4,4,4,4,4,3,3,3,3,3.6,4.0,3.2,3.6
2024 Q1,HR,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4.0,3.8,4.0,3.933333333333333
2024 Q1,HR,4,4,3,3,3,4,3,3,4,3,3,4,3,4,5,3.4,3.4,3.8,3.533333333333333
2024 Q1,HR,4,3,3,2,3,4,4,5,4,3,4,5,4,4,5,3.0,4.0,4.4,3.8
2024 Q1,HR,3,3,3,3,4,3,3,4,4,5,5,4,3,5,4,3.2,3.8,4.2,3.7333333333333334
2024 Q1,HR,3,4,4,4,4,3,3,4,5,4,4,3,4,4,5,3.8,3.8,4.0,3.8666666666666667
2024 Q1,HR,4,3,4,4,3,4,4,4,3,3,5,4,4,4,5,3.6,3.6,4.4,3.8666666666666667
2024 Q1,HR,4,5,4,5,4,3,5,5,4,3,4,4,5,4,4,4.4,4.0,4.2,4.2
2024 Q1,HR,4,5,4,4,3,4,3,4,4,5,3,3,3,4,4,4.0,4.0,3.4,3.8
2024 Q1,HR,4,4,4,4,4,4,4,5,5,3,3,3,4,4,3,4.0,4.2,3.4,3.8666666666666667
2024 Q1,HR,2,4,3,3,3,3,3,5,3,3,5,4,4,5,5,3.0,3.4,4.6,3.6666666666666665
2024 Q1,HR,3,4,4,3,3,3,3,4,3,4,4,4,4,4,4,3.4,3.4,4.0,3.6
2024 Q1,HR,4,5,5,4,4,4,4,4,3,4,3,4,4,4,4,4.4,3.8,3.8,4.0
2024 Q1,HR,4,4,5,2,4,4,4,3,4,5,4,3,3,3,3,3.8,4.0,3.2,3.6666666666666665
