affairs,age,yearsmarried,religiousness,occupation,rating
2,25.0,13.6,4.0,5.0,1.0
3,27.0,8.9,1.0,7.0,1.0
0,22.0,14.3,2.0,4.0,5.0
3,36.0,14.1,2.0,7.0,4.0
0,28.0,7.7,3.0,6.0,2.0
0,40.0,2.8,5.0,5.0,5.0
0,41.0,5.7,4.0,3.0,2.0
0,27.0,10.5,4.0,6.0,1.0
1,46.0,0.5,4.0,6.0,5.0
0,22.0,15.5,5.0,3.0,4.0
0,18.0,17.4,3.0,2.0,2.0
0,23.0,2.5,3.0,5.0,5.0
0,27.0,5.1,5.0,2.0,4.0
1,38.0,11.3,5.0,2.0,3.0
0,50.0,13.3,4.0,3.0,5.0
4,27.0,4.2,2.0,3.0,2.0
4,37.0,9.9,3.0,6.0,1.0
3,37.0,8.8,2.0,7.0,1.0
0,39.0,8.3,1.0,2.0,2.0
1,36.0,16.2,5.0,5.0,2.0
1,40.0,10.2,3.0,2.0,1.0
0,31.0,2.8,1.0,7.0,5.0
4,31.0,11.1,1.0,5.0,1.0
2,29.0,6.7,3.0,1.0,2.0
4,42.0,10.4,4.0,7.0,2.0
0,21.0,11.2,5.0,2.0,3.0
0,28.0,2.3,2.0,6.0,3.0
0,20.0,0.5,2.0,3.0,4.0
2,25.0,8.2,5.0,3.0,2.0
0,32.0,10.5,4.0,4.0,1.0
0,40.0,8.9,2.0,7.0,3.0
2,24.0,14.5,3.0,2.0,3.0
0,45.0,9.2,5.0,2.0,4.0
1,26.0,4.1,1.0,7.0,5.0
2,40.0,8.1,3.0,7.0,3.0
2,49.0,9.5,2.0,4.0,2.0
4,30.0,13.4,1.0,2.0,1.0
0,45.0,0.7,5.0,6.0,5.0
3,31.0,12.6,1.0,4.0,1.0
3,27.0,15.4,1.0,7.0,5.0
2,30.0,16.4,2.0,2.0,5.0
5,34.0,9.3,3.0,5.0,3.0
4,27.0,5.5,1.0,7.0,1.0
0,46.0,8.4,4.0,5.0,4.0
0,35.0,5.7,2.0,5.0,3.0
0,45.0,2.8,2.0,5.0,3.0
1,27.0,7.1,3.0,5.0,3.0
4,24.0,6.9,2.0,3.0,1.0
4,34.0,11.9,1.0,7.0,5.0
4,25.0,4.3,1.0,3.0,2.0
0,27.0,9.4,5.0,5.0,4.0
0,44.0,4.7,2.0,2.0,2.0
3,37.0,7.5,3.0,2.0,2.0
0,21.0,3.1,5.0,7.0,1.0
0,46.0,4.0,5.0,6.0,3.0
2,28.0,10.6,5.0,7.0,2.0
