value,n,pct
Senior,27,0.14673913043478262
Junior,25,0.1358695652173913
Masters,17,0.09239130434782608
Alumni,16,0.08695652173913043
Sophomore,16,0.08695652173913043
Certificate Program,14,0.07608695652173914
Freshman,14,0.07608695652173914
Masters of Business Administration,13,0.07065217391304347
Second Year Community / Technical College,12,0.06521739130434782
First Year Community / Technical College,10,0.05434782608695652
Postdoctoral Studies,10,0.05434782608695652
Doctorate,10,0.05434782608695652
